typeCode,typeName,typeDesc,hairName,hairDesc
100,하트형,이마가 넓고 아래로 갈수록 좁아지는 형태로 부드러운 인상을 주지만 이마가 강조되면 차가워 보일 수 있는 얼굴형입니다.,앞머리를 살짝 덮는 볼륨감 있는 중간 길이 헤어 스타일,이마를 가려 상단부의 넓이를 완화하고 얼굴을 전체적으로 부드럽게 조화시킬 수 있는 헤어스타일입니다.
200,하트형,이마가 넓고 턱선이 갸름한 형태로 부드럽고 여성스러운 인상을 주나 이마가 부각될 수 있는 얼굴형입니다.,눈썹선을 살짝 덮는 시스루 뱅과 아래로 갈수록 볼륨을 주는 미디엄 웨이브,이마를 자연스럽게 커버하면서 턱선이 너무 뾰족해 보이지 않게 부드러운 실루엣을 형성하는 헤어스타일입니다.
111,장방형,얼굴이 세로로 길게 늘어난 형태로 성숙하고 세련되지만 균형감이 부족해보일 수 있는 얼굴형입니다.,옆머리를 짧게 하고 윗머리에 볼륨을 준 클래식 리프컷,가로 폭을 넓혀 보여 얼굴의 긴 비율을 완화하고 균형감을 제공하는 헤어스타일입니다.
211,장방형,세로로 길어 보이는 얼굴로 성숙한 이미지를 주지만 너무 길면 밸런스가 깨져보일 수 있는 얼굴형입니다.,옆가르마와 옆 볼륨을 살린 미디엄 레이어드 컷,옆가르마와 옆 볼륨으로 세로 길이를 완화해 부드럽고 균형 잡힌 이미지를 구현할 수 있는 헤어스타일입니다.
122,계란형,"이상적인 비율로 균형 잡힌 형태라 다양한 스타일이 잘 어울림, 단 개성 표현이 어려울 수 있는 얼굴형입니다.",깔끔한 포마드나 사이드 파트,균형 잡힌 얼굴 비율을 깔끔하고 정돈된 스타일로 더욱 세련되게 강조하는 헤어스타일입니다.
222,계란형,전체적으로 균형 잡힌 형태로 어떤 스타일이든 무난히 어울리는 얼굴형입니다.,부드러운 레이어드 컷이나 플랫 웨이브,다양한 스타일을 소화하고 레이어를 통해 부드럽고 여성스러운 분위기를 극대화할 수 있는 헤어스타일입니다.
133,둥근형,가로세로 비율이 비슷한 둥근 형태로 어려보이고 친근하지만 입체감이 부족할 수 있는 얼굴형입니다.,윗머리를 세워 올린 스파이크나 크롭컷,위로 볼륨을 주어 얼굴을 길어 보이게 하고 날렵한 이미지를 형성하는 헤어스타일입니다.
233,둥근형,둥근 형태로 부드럽고 친근한 인상을 주지만 얼굴이 퍼져 보일 수 있는 얼굴형입니다.,얼굴 옆선을 따라 자연스레 떨어지는 긴 생머리나 루즈 웨이브,세로로 시선을 분산시켜 부드러운 인상을 유지하면서도 얼굴을 갸름하게 보이게 하는 헤어스타일입니다.
144,각진형,턱선과 광대가 도드라진 각진 형태로 남성적이고 선명한 윤곽이지만 부드러움이 부족할 수 있는 얼굴형입니다.,"옆머리를 깔끔히 정리한 언더컷, 윗머리에 약간 볼륨",옆선을 정돈하고 시선을 위로 유도하여 각진 윤곽을 부드럽게 완화하는 헤어스타일입니다.
244,각진형,뚜렷한 턱선으로 선명한 윤곽을 갖지만 강한 인상을 줄 수 있는 얼굴형입니다.,부드러운 C컬 미디엄 헤어 또는 사이드 스윕 뱅,곡선을 더해 강한 윤곽선을 부드럽게 만들고 여성스러운 이미지를 강조하는 헤어스타일입니다.
101,강한 하트형,하트형의 넓은 이마와 좁은 턱선에 장방형의 세로 길이가 더해져 세련되지만 이마가 넓고 길어 보일 수 있는 얼굴형입니다.,옆머리를 줄이고 윗머리에 볼륨을 준 레이어드컷,세로로 길어 보이는 인상을 볼륨으로 완화하고 이마 폭 강조를 줄이는 헤어스타일입니다.
201,세련된 하트형,상단이 넓은 하트형에 길쭉한 장방형 특성이 더해져 우아하지만 비율 균형이 까다로울 수 있는 얼굴형입니다.,앞머리를 내리고 볼륨 있는 S컬 미디엄 스타일,앞머리로 이마를 가리고 옆 볼륨으로 긴 비율을 부드럽게 조정해 우아한 이미지를 극대화할 수 있는 헤어스타일입니다.
102,조화로운 하트형,하트형의 넓은 이마와 계란형의 균형감을 결합해 전체적으로 안정적이지만 이마 강조가 될 수 있는 얼굴형입니다.,이마를 살짝 덮은 사이드 파트,균형 잡힌 형태에 이마를 가려 차가운 인상을 완화하고 자연스러운 남성미를 살리는 헤어스타일입니다.
202,조화로운 하트형,균형감 있는 계란형에 하트형 이마가 더해져 다양한 스타일 소화가 가능하지만 상단부 너무 부각되어 보일 수 있는 얼굴형입니다.,얇은 뱅과 부드러운 레이어 웨이브,이마를 가려주어 부드러운 분위기를 유지하며 여성스러운 이미지를 강화할 수 있는 헤어스타일입니다.
103,친근한 하트형,하트형의 넓은 이마와 원형의 둥근 비율이 합쳐져 온화하지만 얼굴이 퍼져 보일 수 있는 얼굴형입니다.,윗머리에 볼륨을 주고 사이드를 슬림하게 한 크롭컷,둥근 이미지를 세로로 늘려 이마 강조를 줄이고 균형을 잡는 헤어스타일입니다.
203,어려보이는 하트형,둥근 원형에 하트형의 이마가 더해져 부드럽지만 상단이 넓어보일 수 있는 얼굴형입니다.,이마를 가리는 시스루 뱅과 턱 아래로 흐르는 롱 레이어,이마를 가려 부드러운 라인을 유지하면서 전체적으로 길게 보이게 하여 갸름한 인상을 형성할 수 있는 헤어스타일입니다.
104,카리스마 있는 하트형,넓은 이마와 각진 턱선이 결합되어 입체적이나 강한 대비로 부자연스러울 수 있는 얼굴형입니다.,옆머리 다운펌 후 윗머리에 볼륨을 준 포마드 스타일,강한 선을 정돈하고 이마와 턱 사이 균형을 맞춰 세련된 인상을 완성하는 헤어스타일입니다.
204,성숙한 하트형,각진 윤곽에 하트형 이마가 더해져 선명하지만 상단 강조로 이질감이 있을 수 있는 얼굴형입니다.,페이스 프레이밍 레이어드 컷과 부드러운 컬,각진 턱선을 컬로 부드럽게 감싸고 넓은 이마를 자연스럽게 분산시켜 여성미 구현할 수 있는 헤어스타일입니다.
110,부드러운 장방형,길쭉한 장방형에 하트형 이마가 더해져 독특하지만 상단이 강조되어 균형감이 어려울 수 있는 얼굴형입니다.,측면을 짧게 한 슬릭백 언더컷,이마를 드러내 세로 길이를 시원하게 보이게 하고 옆을 줄여 비율을 맞추는 헤어스타일입니다.
210,청순한 장방형,장방형의 길이감에 하트형 이마가 가미되어 세련되나 너무 길어 보일 수 있는 얼굴형입니다.,이마를 살짝 덮는 뱅과 아래로 웨이브를 준 미디엄 길이,넓은 이마를 커버하고 길게 보이는 얼굴을 부드럽게 보완하는 헤어스타일입니다.
112,조화로운 장방형,계란형의 균형감에 장방형의 길이가 더해져 세련되지만 길어 보일 수 있는 얼굴형입니다.,윗머리에 층을 준 레이어드 커트,볼륨으로 세로 길이를 완화하고 자연스럽게 균형 잡힌 이미지를 유지하는 헤어스타일입니다.
212,조화로운 장방형,균형잡힌 계란형에 길쭉한 장방형 요소가 결합되어 우아하지만 스타일 선택이 중요한 얼굴형입니다.,옆가르마와 자연스러운 C컬 미디엄 롱 스타일,옆가르마와 C컬로 세로 길이를 부드럽게 흐트러뜨려 균형감을 극대화할 수 있는 헤어스타일입니다.
113,친근한 장방형,원형의 둥근 라인에 장방형의 길이가 더해져 친근하면서도 세련되지만 어중간할 수 있는 얼굴형입니다.,윗머리를 살짝 올린 샤기컷,둥근 인상을 길게 조정하고 세련된 느낌을 더해 친근함과 스타일리시함을 확보하는 헤어스타일입니다.
213,어려보이는 장방형,둥근 원형에 장방형 길이가 합쳐져 부드럽지만 퍼져 보일 수 있는 얼굴형입니다.,앞머리를 길게 내려 측면으로 흐르게 한 롱 웨이브,둥근 이미지를 세로 흐름으로 조정해 우아하고 부드러운 이미지를 연출하는 헤어스타일입니다.
114,카리스마 있는 장방형,각진 윤곽에 장방형의 길이가 합쳐져 카리스마 있지만 딱딱해 보일 수 있는 얼굴형입니다.,"깔끔한 포마드컷, 윗부분 약간 볼륨",선명한 윤곽을 정돈하고 길이를 볼륨으로 보완해 균형 잡힌 남성미를 극대화할 수 있는 헤어스타일입니다.
214,성숙한 장방형,길쭉하고 각진 윤곽으로 강한 인상이지만 부드러움이 다소 부족해보일 수 있는 얼굴형입니다.,레이어를 많이 준 세미롱 스타일에 부드러운 S컬,각진 라인을 컬로 흐려주며 길이를 활용해 세련되고 우아한 분위기를 조성할 수 있는 헤어스타일입니다.
120,부드러운 계란형,균형 잡힌 계란형에 하트형 이마가 더해져 다양한 스타일 가능하지만 이마가 부각될 수 있는 얼굴형입니다.,자연스럽게 이마를 반쯤 덮는 사이드 스윕,이마를 가려 부드러운 인상을 유지하고 자연스러운 남성미를 강조하는 헤어스타일입니다.
220,청순한 계란형,계란형 균형감에 하트형 이마로 윗부분 강조가 가능해 다양한 스타일을 소화할 수 있는 얼굴형입니다.,시스루 뱅과 얼굴을 감싸는 레이어드 웨이브,이마를 살짝 가리고 부드러운 라인을 강조해 균형 잡힌 여성적 이미지를 표현할 수 있는 헤어스타일입니다.
121,강한 계란형,이상적 비율의 계란형에 장방형 길이가 더해져 고급스럽지만 너무 길면 어색할 수 있는 얼굴형입니다.,윗머리 볼륨을 줄인 슬릭백 스타일,볼륨 조절로 지나친 길이감을 안정화하고 세련된 이미지를 유지하는 헤어스타일입니다.
221,세련된 계란형,계란형 비율에 장방형의 세로 길이가 조화된 우아한 얼굴형입니다.,옆가르마에 부드러운 웨이브를 더한 미디엄 롱 헤어,옆 볼륨과 웨이브로 길어 보이는 얼굴을 균형 잡아 부드럽고 고급스런 인상을 형성할 수 있는 헤어스타일입니다.
123,친근한 계란형,균형감 있는 계란형에 원형의 둥근 부드러움이 더해져 어떤 스타일에도 무난한 얼굴형입니다.,"적당한 길이의 레귤러 컷, 앞머리 살짝 올리기",균형 잡힌 얼굴에 가벼운 볼륨과 이마 노출로 깔끔하고 친근한 이미지를 극대화하는 헤어스타일입니다.
223,어려보이는 계란형,계란형 균형감에 원형 부드러움이 가미되어 사랑스러운 인상을 주는 얼굴형입니다.,자연스러운 에어리 뱅과 부드러운 웨이브 보브 컷,에어리 뱅으로 이마를 가볍게 커버하고 웨이브로 부드러운 분위기를 연출하여 귀여운 이미지를 강화하는 헤어스타일입니다.
124,카리스마 있는 계란형,균형감 있는 계란형에 각진 윤곽이 더해져 또렷한 윤곽선을 가지는 얼굴형입니다.,옆머리를 자연스럽게 흐르는 리프컷,각진 윤곽을 부드러운 헤어 라인으로 중화해 세련된 남성미를 완성하는 헤어스타일입니다.
224,성숙한 계란형,계란형 비율에 각진 선이 더해져 매력적이나 부드러움이 감소할 수 있는 얼굴형입니다.,얼굴선을 따라 흐르는 부드러운 컬을 강조한 레이어드 롱 헤어,각진 선을 긴 레이어와 컬로 감싸 여성스럽고 우아한 이미지를 제공하는 헤어스타일입니다.
130,부드러운 원형,둥근 원형에 하트형의 넓은 이마를 더해 귀엽지만 퍼져 보일 수 있는 얼굴형입니다.,옆머리를 타이트하게 한 크롭컷,넓은 이마를 드러내되 양옆을 축소해 둥근 인상을 날렵하게 만들어 균형을 맞추는 헤어스타일입니다.
230,청순한 원형,원형의 부드러움에 하트형 이마가 더해져 상단이 강조된 얼굴형입니다.,가벼운 시스루 뱅과 턱선 아래로 떨어지는 C컬 미디엄 헤어,이마를 살짝 가리고 C컬로 둥근 형태를 세로로 늘려 귀엽고 여성스러운 분위기를 형성하는 헤어스타일입니다.
131,강한 원형,원형의 둥근 라인에 장방형의 길이를 더해 부드러우면서 세련된 얼굴형입니다.,윗머리에 적당한 볼륨을 주고 옆은 슬림하게 한 소프트 언더컷,둥근 인상을 세로로 보완하고 볼륨 조절로 균형감을 살려 세련된 느낌을 표현하는 헤어스타일입니다.
231,세련된 원형,둥근 원형에 세로 길이가 더해져 우아하지만 조화가 중요한 얼굴형입니다.,옆가르마와 자연스럽게 흐르는 레이어드 롱 웨이브,둥글고 긴 비율을 레이어와 웨이브로 부드럽게 조정해 우아한 이미지를 완성하는 헤어스타일입니다.
132,조화로운 원형,원형의 둥근 부드러움에 계란형의 균형감이 합쳐져 무난한 인상을 주는 얼굴형입니다.,깔끔한 리젠트 컷,둥근 얼굴을 세로로 길게 보여 균형을 잡고 깔끔한 이미지를 강화하는 헤어스타일입니다.
232,조화로운 원형,계란형 균형에 원형 부드러움이 더해져 다양한 스타일을 소화할 수 있는 얼굴형입니다.,볼륨 있는 뱅과 부드러운 웨이브 보브컷,둥근 얼굴형을 웨이브로 감싸고 뱅으로 포인트를 주어 사랑스럽고 균형 잡힌 인상을 연출하는 헤어스타일입니다.
134,카리스마 있는 원형형,둥근 부드러움에 각진 턱선이 더해져 독특한 조화를 이룰 수 있는 얼굴형입니다.,윗머리 볼륨을 살린 클래식 포마드,턱선을 또렷하게 살리며 둥근 형태를 세련되게 정돈해 균형감을 부여하는 헤어스타일입니다.
234,성숙한 원형,부드러운 원형에 각진 윤곽이 합쳐져 강하면서도 우아할 수 있는 얼굴형입니다.,얼굴 라인을 따라 흐르는 레이어드 미디엄 웨이브,또렷한 턱선을 부드러운 웨이브로 감싸 여성스럽고 고급스러운 분위기를 연출하는 헤어스타일입니다.
140,부드러운 각진형,각진 턱선에 하트형 이마가 더해져 입체적이지만 균형감이 어려울 수 있는 얼굴형입니다.,앞머리를 약간 내려 균형 잡는 투블록 컷,넓은 이마를 앞머리로 커버하고 각진 턱선을 부드럽게 완화해 자연스러운 남성미를 형성할 수 있는 헤어스타일입니다.
240,청순한 각진형,각진 윤곽에 하트형 이마가 결합되어 개성적이지만 이마-턱 대비로 어색할 수 있는 얼굴형입니다.,사이드 뱅과 부드러운 웨이브의 세미롱 스타일,넓은 이마를 사이드 뱅으로 가리고 턱선을 웨이브로 흐려 우아한 이미지를 가질 수 있는 헤어스타일입니다.
141,강한 각진형,길쭉하고 각진 형태로 카리스마 있으나 딱딱해 보일 수 있는 얼굴형입니다.,윗머리를 부드럽게 흐르는 리프컷,각진 윤곽에 부드러운 흐름을 더해 강함을 완화하고 세련된 느낌을 부각하는 헤어스타일입니다.
241,세련된 각진형,각지고 길게 늘어난 형태로 독특하지만 강한 인상을 주는 얼굴형입니다.,레이어드 롱 헤어에 굵은 컬,각진 라인을 컬로 중화하고 길이를 활용해 우아하고 매력적인 여성상을 연출하는 헤어스타일입니다.
142,조화로운 각진형,균형 잡힌 계란형에 각진 턱선을 더해 세련된 윤곽을 가지는 얼굴형입니다.,측면을 슬림하게 하고 윗머리를 올린 사이드 파트,각진 윤곽을 세련되게 드러내며 슬림한 측면으로 균형 잡힌 남성미를 강조하는 헤어스타일입니다.
242,조화로운 각진형,균형감 있는 계란형에 각진 선이 더해져 매력적이나 부드러움 감소할 수 있는 얼굴형입니다.,페이스 라인을 감싸는 레이어드 웨이브 롱 헤어,각진 턱선을 부드러운 웨이브로 감싸 균형 잡힌 우아한 이미지를 형성하는 헤어스타일입니다.
143,친근한 각진형,각진 턱선에 원형의 둥근 라인이 더해져 강하면서도 친근한 인상을 주는 얼굴형입니다.,옆머리를 짧게 한 크루컷,각진 턱선을 강조하며 둥근 라인을 깔끔하게 정리해 균형감을 제공하는 헤어스타일입니다.
243,어려보이는 각진형,뚜렷한 윤곽에 둥근 부드러움이 가미된 형태로 강약이 조화롭게 존재하는 얼굴형입니다.,자연스럽게 흐르는 웨이브 보브컷과 시스루 뱅,각진 선을 웨이브로 부드럽게 감싸고 둥근 라인과 조화시켜 친근하고 매력적인 인상을 연출하는 헤어스타일입니다.
